PATHWAY SORTORDER	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID	RI	MASS	PUBCHEM	CAS	KEGG	HMBD
5517	2-methoxyresorcinol sulfate	Xenobiotics	Chemical	48445	LC/MS Neg	100006184	1863	218.9969		1446269-78-8		
350	2-methylbutyrylcarnitine (C5)	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	45095	LC/MS Pos Early	100001509	3050	246.17	6426901	31023-25-3		HMDB00378
352	2-methylbutyrylglycine (C5)	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	31928	LC/MS Pos Early	100001155	2000	160.0968	193872	52320-67-9		HMDB00339
1327	2-methylcitrate/homocitrate	Energy	TCA Cycle	52282	LC/MS Neg	100008929	575	205.0354	515;439459			
1622	2-methylmalonylcarnitine (C4-DC)	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	35482	LC/MS Pos Early	100001596	2440	262.1285	53481628	149181-64-6		HMDB13133
15	2-methylserine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	53229	LC/MS Pos Early	100009246	1652	120.0655	94309		C02115	
5481	2-naphthol sulfate	Xenobiotics	Chemical	62520	LC/MS Neg	100020515	3658	223.0071	74428			
2601	2-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	21232	LC/MS Neg	100000943	6500	281.2486	5319879	3443-84-3		HMDB11537
4020	2-O-methylascorbic acid	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	63990	LC/MS Neg	100003258	778	189.0405	99779	17860-87-6		
3939	2'-O-methylcytidine	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	57554	LC/MS Pos Early	100010895	2411	258.1085	150971	2140-72-9		
3901	2'-O-methyluridine	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	57655	LC/MS Neg	100010896	1831	257.0779	102212	2140-76-3		
4374	2-oxindole-3-acetate	Xenobiotics	Food Component/Plant	40479	LC/MS Neg	100003109	2076	190.051	3080590	2971-31-5		HMDB35514
434	2-oxoarginine*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	55072	LC/MS Pos Early	100002784	1760	174.0873	558	10/4/15	C03771	HMDB04225
2349	2-palmitoleoyl-GPC* (16:1)*	Lipid	Lysophospholipid	47118	LC/MS Neg	100001561	5720	568.3256				HMDB10383
2347	2-palmitoyl-GPC* (16:0)*	Lipid	Lysophospholipid	35253	LC/MS Neg	100001562	6215	570.3413	15061532			HMDB61702
4264	2-piperidinone	Xenobiotics	Food Component/Plant	43400	LC/MS Pos Early	100004295	1675	100.0757	12665	675-20-7		HMDB11749
5204	2-propyl-4-pentenoate (4-ene-valproate)	Xenobiotics	Drug - Neurological	48143	LC/MS Neg	100005952	3436	141.0921	104896	1575-72-0		
58	2-pyrrolidinone	Amino Acid	Glutamate Metabolism	31675	LC/MS Pos Early	100001081	1262	86.06	12025	616-45-5		HMDB02039
1822	"2R,3R-dihydroxybutyrate"	Lipid	"Fatty Acid, Dihydroxy"	63109	LC/MS Polar	100002367	1543	119.035	13120901	759-06-8		HMDB00498
1821	"2S,3R-dihydroxybutyrate"	Lipid	"Fatty Acid, Dihydroxy"	62950	LC/MS Polar	100002284	1660	119.035	10964471	5057-93-2		HMDB02453
2408	2-stearoyl-GPE (18:0)*	Lipid	Lysophospholipid	41220	LC/MS Neg	100003901	6350	480.3096				HMDB11129
3921	3-(3-amino-3-carboxypropyl)uridine*	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	62924	LC/MS Neg	100001426	1369	344.1099	171198	52745-94-5		
4218	3-(3-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	35635	LC/MS Neg	100001624	1980	165.0557	91	621-54-5	C11457	HMDB00375
4215	3-(3-hydroxyphenyl)propionate sulfate	Xenobiotics	Benzoate Metabolism	45415	LC/MS Neg	100005391	1294	245.0125	187488	86321-32-6		
170	3-(4-hydroxyphenyl)lactate (HPLA)	Amino Acid	Tyrosine Metabolism	32197	LC/MS Neg	240	1379	181.0506	9378	6482-98-0	C03672	HMDB00755
4219	3-(4-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	39587	LC/MS Neg	100002914	1670	165.0557	10394	501-97-3	C01744	HMDB02199
4882	3-(methylthio)acetaminophen sulfate*	Xenobiotics	"Drug - Analgesics, Anesthetics"	62567	LC/MS Neg	100020827	2265	276.0006				
4872	3-(N-acetyl-L-cystein-S-yl) acetaminophen	Xenobiotics	"Drug - Analgesics, Anesthetics"	45721	LC/MS Neg	2048	2094	311.0707	83967	52372-86-8		
1825	"3,4-dihydroxybutyrate"	Lipid	"Fatty Acid, Dihydroxy"	62952	LC/MS Polar	100001730	2204	119.035		51267-44-8		
4720	"3,4-methyleneheptanoate"	Xenobiotics	Food Component/Plant	53026	LC/MS Neg	100006651	3807	141.0921				
1682	"3,4-methyleneheptanoylcarnitine"	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	52929	LC/MS Neg	100009234	4096	346.1871				
5553	"3,5-dichloro-2,6-dihydroxybenzoic acid"	Xenobiotics	Chemical	63589	LC/MS Polar	100021324	693	220.9414				
4238	"3,7-dimethylurate"	Xenobiotics	Xanthine Metabolism	34399	LC/MS Neg	100001398	1418	195.0524	83126	13087-49-5	C16360	HMDB01982
5413	3-acetylphenol sulfate	Xenobiotics	Chemical	48693	LC/MS Neg	100004326	2477	215.002				
432	3-amino-2-piperidone	Amino Acid	Urea cycle; Arginine and Proline Metabolism	62853	LC/MS Pos Early	100020361	2065	115.0866	5200225	1892-22-4		HMDB00323
3955	3-aminoisobutyrate	Nucleotide	"Pyrimidine Metabolism, Thymine containing"	1566	LC/MS Pos Early	1114	2190	104.0706	64956	10569-72-9;214139-20-5	C05145	HMDB03911
2923	"3beta,7alpha-dihydroxy-5-cholestenoate"	Lipid	Sterol	36803	LC/MS Neg	100001611	5275	431.3167	3081084	115538-84-6	C17335	
2924	3beta-hydroxy-5-cholestenoate	Lipid	Sterol	54805	LC/MS Neg	100006370	5398	415.3218	165511	6561-58-6	C17333	
3222	3b-hydroxy-5-cholenoic acid	Lipid	Secondary Bile Acid Metabolism	43507	LC/MS Neg	100004182	5205	373.2748	92997	5255-17-4		HMDB00308
5554	"3-bromo-5-chloro-2,6-dihydroxybenzoic acid*"	Xenobiotics	Chemical	63681	LC/MS Neg	100021707	4505	264.8909				
1554	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	Lipid	"Fatty Acid, Dicarboxylate"	61871	LC/MS Neg	100020004	4000	267.1238	194501			
1552	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Lipid	"Fatty Acid, Dicarboxylate"	31787	LC/MS Neg	100001178	2800	239.0925	123979	86879-39-2		HMDB61112
1684	3-decenoylcarnitine	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	63361	LC/MS Pos Late	100021136	1045	314.2326				
4489	3-ethylcatechol sulfate (1)	Xenobiotics	Food Component/Plant	62796	LC/MS Neg	100020851	3422	217.0176				
4490	3-ethylcatechol sulfate (2)	Xenobiotics	Food Component/Plant	62797	LC/MS Neg	100020852	3555	217.0176				
4378	3-formylindole	Xenobiotics	Food Component/Plant	62863	LC/MS Pos Early	100020219	2736	146.06	10256	487-89-8	C08493	HMDB29737
356	3-hydroxy-2-ethylpropionate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	32397	LC/MS Polar	100001170	1443.3	117.0557	188979	4374-62-3		HMDB00396
5547	3-hydroxy-2-methylpyridine sulfate	Xenobiotics	Chemical	63227	LC/MS Neg	100020975	1849	188.0023				
2895	3-hydroxy-3-methylglutarate	Lipid	Mevalonate Metabolism	531	LC/MS Polar	112	2850	161.0456	1662	503-49-1	C03761	HMDB00355
1515	3-hydroxyadipate*	Lipid	"Fatty Acid, Dicarboxylate"	62069	LC/MS Polar	100004396	3131	161.0455	151913			HMDB00345
1734	3-hydroxybutyrate (BHBA)	Lipid	Ketone Bodies	542	LC/MS Polar	254	1480	103.0401	441	625-72-9	C01089	HMDB00357
1650	3-hydroxybutyroylglycine	Lipid	Fatty Acid Metabolism (Acyl Glycine)	62064	LC/MS Pos Early	100020211	978	162.0761				
1771	3-hydroxydecanoate	Lipid	"Fatty Acid, Monohydroxy"	22053	LC/MS Neg	100000997	4634.7	187.134	26612	5561-87-5		HMDB02203
1724	3-hydroxydecanoylcarnitine	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	63358	LC/MS Pos Late	100021141	961	332.2432				HMDB61636
1534	3-hydroxydodecanedioate*	Lipid	"Fatty Acid, Dicarboxylate"	62915	LC/MS Neg	100001454	2252	245.1394	16663321	34574-69-1		HMDB00413
1768	3-hydroxyhexanoate	Lipid	"Fatty Acid, Monohydroxy"	53230	LC/MS Neg	100006367	1725	131.0714	151492	10191-24-9		
1721	3-hydroxyhexanoylcarnitine (1)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	62557	LC/MS Pos Early	100020825	2918	276.1806				
4126	3-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	39600	LC/MS Neg	100002122	1687	194.0459	450268	1637-75-8		HMDB06116
4387	3-hydroxyindolin-2-one sulfate	Xenobiotics	Food Component/Plant	48419	LC/MS Neg	100006103	2082	227.9972				
376	3-hydroxyisobutyrate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	1549	LC/MS Polar	111	1619	103.0401	87	2068-83-9	C06001	HMDB00336
255	3-hydroxykynurenine	Amino Acid	Tryptophan Metabolism	22110	LC/MS Pos Early	100000986	2536	225.087	89	2147-61-7	C02794	HMDB00732
1774	3-hydroxylaurate	Lipid	"Fatty Acid, Monohydroxy"	32457	LC/MS Neg	100001112	5175	215.1653	94216	53941-38-1		HMDB00387
1775	3-hydroxymyristate	Lipid	"Fatty Acid, Monohydroxy"	21158	LC/MS Neg	100000882	5335	243.1966	16064	3422-31-9		
1769	3-hydroxyoctanoate	Lipid	"Fatty Acid, Monohydroxy"	22001	LC/MS Neg	100000773	3446	159.1027	26613	88930-08-9		HMDB01954
1778	3-hydroxyoleate*	Lipid	"Fatty Acid, Monohydroxy"	61843	LC/MS Neg	100019966	5508	297.2435				
1726	3-hydroxyoleoylcarnitine	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	61840	LC/MS Pos Late	100019801	1406	442.3527				
1061	3-hydroxyphenylacetoylglutamine	Peptide	Acetylated Peptides	62733	LC/MS Neg	100019831	1825	279.0986				
5519	3-hydroxypyridine glucuronide	Xenobiotics	Chemical	63236	LC/MS Pos Early	100020591	1657	272.0765				
5518	3-hydroxypyridine sulfate	Xenobiotics	Chemical	48448	LC/MS Neg	100006098	1595.5	173.9867		1955-23-3		
1773	3-hydroxysebacate	Lipid	"Fatty Acid, Monohydroxy"	31943	LC/MS Neg	100001145	1282	217.1081	3017884	73141-46-5		HMDB00350
4638	3-hydroxystachydrine*	Xenobiotics	Food Component/Plant	62062	LC/MS Pos Early	100020203	1049	160.0968	442640			
1807	3-hydroxystearate	Lipid	"Fatty Acid, Monohydroxy"	52938	LC/MS Neg	100008933	5674	299.2592	5282907	45261-96-9		
5202	3-hydroxyvalproate	Xenobiotics	Drug - Neurological	57781	LC/MS Neg	100015977	2912	159.1027	134459	58888-84-9	C16651	HMDB13899
4778	3-indoleglyoxylic acid	Xenobiotics	Food Component/Plant	63583	LC/MS Neg	100020372	2140	188.0353	73863	1477-49-2		
287	3-indoxyl sulfate	Amino Acid	Tryptophan Metabolism	27672	LC/MS Neg	100000467	2222.2	212.0023	10258	2642-37-7		HMDB00682
4189	3-methoxycatechol sulfate (1)	Xenobiotics	Benzoate Metabolism	48763	LC/MS Neg	100006375	2163	218.9969				
4190	3-methoxycatechol sulfate (2)	Xenobiotics	Benzoate Metabolism	48752	LC/MS Neg	100006376	2200	218.9969				
193	3-methoxytyramine sulfate	Amino Acid	Tyrosine Metabolism	44618	LC/MS Neg	100004634	1722	246.0442				
191	3-methoxytyrosine	Amino Acid	Tyrosine Metabolism	12017	LC/MS Neg	1342	1606	210.0772	1670	300-48-1		HMDB01434
4158	3-methyl catechol sulfate (1)	Xenobiotics	Benzoate Metabolism	46165	LC/MS Neg	100004112	2790	203.002				
4159	3-methyl catechol sulfate (2)	Xenobiotics	Benzoate Metabolism	46164	LC/MS Neg	100004110	2860	203.002				
371	3-methyl-2-oxobutyrate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	44526	LC/MS Neg	100000936	1465	115.0401	49	3715-29-5	C00141	HMDB00019
347	3-methyl-2-oxovalerate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	15676	LC/MS Neg	100000036	2064.2	129.0557	47	1460-34-0;51829-07-3	C00671	HMDB03736
319	3-methylcrotonylglycine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	31940	LC/MS Pos Early	100001149	1980	158.0812	169485	33008-07-0		HMDB00459
3930	3-methylcytidine	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	35132	LC/MS Pos Early	100001466	2176	258.1085	159649	21028-20-6		
323	3-methylglutaconate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	38667	LC/MS Polar	100002458	2700	143.035	1551553	5746-90-7		HMDB00522
331	3-methylglutarylcarnitine (2)	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	46548	LC/MS Pos Early	100005850	2687	290.1598	128145			HMDB00552
69	3-methylhistidine	Amino Acid	Histidine Metabolism	15677	LC/MS Neg	100000042	906.3	168.0779	64969	368-16-1	C01152	HMDB00479
4241	3-methylxanthine	Xenobiotics	Xanthine Metabolism	32445	LC/MS Neg	100001108	1700	165.0418	70639	1076-22-8	C16357	HMDB01886
4220	3-phenylpropionate (hydrocinnamate)	Xenobiotics	Benzoate Metabolism	15749	LC/MS Neg	100000010	2860	149.0608	107	501-52-0	C05629	HMDB00764
1109	3-phosphoglycerate	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	1414	LC/MS Pos Early	132	590	187.0002	724	80731-10-8	C00597	HMDB00807
3916	3-ureidopropionate	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	3155	LC/MS Polar	1053	2230	131.0462	111	462-88-4	C02642	HMDB00026
5532	4-acetamidobenzoate	Xenobiotics	Chemical	57585	LC/MS Neg	100009413	1403	178.051	19266	556-08-1	D03836	
498	4-acetamidobutanoate	Amino Acid	Polyamine Metabolism	1558	LC/MS Neg	1113	894	144.0666	18189	3025-96-5	C02946	HMDB03681
4871	4-acetamidophenol	Xenobiotics	"Drug - Analgesics, Anesthetics"	12032	LC/MS Neg	1383	2173.7	150.0561	1983	103-90-2	C06804	HMDB01859
4874	4-acetamidophenylglucuronide	Xenobiotics	"Drug - Analgesics, Anesthetics"	15736	LC/MS Neg	100000043	1400	326.0881	83944	120595-80-4		HMDB10316
4873	4-acetaminophen sulfate	Xenobiotics	"Drug - Analgesics, Anesthetics"	37475	LC/MS Neg	2049	1792	230.0129	83939	10066-90-7;32113-41-0	C06804	HMDB59911
4405	4-acetylcatechol sulfate (1)	Xenobiotics	Food Component/Plant	62798	LC/MS Neg	100020853	1774	230.9969				
4171	4-acetylphenyl sulfate	Xenobiotics	Benzoate Metabolism	44620	LC/MS Neg	100000711	2375	215.002	4684006			
4162	4-allylcatechol sulfate	Xenobiotics	Benzoate Metabolism	63597	LC/MS Neg	100020578	3571	229.0176				
4660	4-allylphenol sulfate	Xenobiotics	Food Component/Plant	37181	LC/MS Neg	100001868	3805	213.0227				
5558	4-chlorobenzoic acid	Xenobiotics	Chemical	63988	LC/MS Neg	100021784	3015	154.9905		74-11-3		
2934	4-cholesten-3-one	Lipid	Sterol	38125	LC/MS Pos Late	100002227	2520	385.3465	91477	601-57-0	C00599	HMDB00921
4160	4-ethylcatechol sulfate	Xenobiotics	Benzoate Metabolism	63072	LC/MS Neg	100020536	3379	217.0176				
4175	4-ethylphenyl sulfate	Xenobiotics	Benzoate Metabolism	36099	LC/MS Neg	100001756	3580	201.0227	20822574	123-07-9	C13637	HMDB62551
501	4-guanidinobutanoate	Amino Acid	Guanidino and Acetamido Metabolism	15681	LC/MS Pos Early	100000096	2320	146.0924	500	463-003;463-00-3	C01035	HMDB03464
1511	4-hydroxy-2-oxoglutaric acid	Lipid	"Fatty Acid, Dicarboxylate"	40062	LC/MS Polar	100002537	3073	161.0092	599	1187-99-1	C01127	HMDB02070
5511	4-hydroxychlorothalonil	Xenobiotics	Chemical	48441	LC/MS Neg	100006082	4427	244.9082	34217	28343-61-5		
5095	4-hydroxycoumarin	Xenobiotics	Drug - Cardiovascular	37445	LC/MS Neg	100002049	2470	161.0244	54682930	1076-38-6	C20414	
48	4-hydroxyglutamate	Amino Acid	Glutamate Metabolism	40499	LC/MS Pos Early	100002544	1141	164.0554	439902	2485-33-8	C03079	HMDB01344
4128	4-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	35527	LC/MS Neg	100001423	1475	194.0459	151012	2482-25-9		HMDB13678
151	4-hydroxyphenylacetate	Amino Acid	Phenylalanine Metabolism	541	LC/MS Neg	144	1361	151.0401	127	156-38-7	C00642	HMDB00020
1062	4-hydroxyphenylacetylglutamine	Peptide	Acetylated Peptides	55017	LC/MS Neg	100010850	1650	279.0986				
165	4-hydroxyphenylpyruvate	Amino Acid	Tyrosine Metabolism	1669	LC/MS Neg	1141	1690	179.035	979	156-39-8	C01179	HMDB00707
180	4-methoxyphenol sulfate	Amino Acid	Tyrosine Metabolism	48457	LC/MS Neg	100006262	2412	203.002		3233-60-1		
302	4-methyl-2-oxopentanoate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	22116	LC/MS Neg	100000551	2170	129.0557	70	816-66-0	C00233	HMDB00695
5509	4-methylbenzenesulfonate	Xenobiotics	Chemical	43592	LC/MS Neg	100002390	2350	171.0121	6101	104-15-4	C06677	
4161	4-methylcatechol sulfate	Xenobiotics	Benzoate Metabolism	46146	LC/MS Neg	100004111	2665	203.002				
4156	4-methylguaiacol sulfate	Xenobiotics	Benzoate Metabolism	48418	LC/MS Neg	100006105	2978	217.0176		756760-43-7		
1630	4-methylhexanoylglutamine	Lipid	Fatty Acid Metabolism (Acyl Glutamine)	62735	LC/MS Neg	100020631	3390	257.1507				
1666	4-methylnonanoylcarnitine	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	63612	LC/MS Pos Late	100021138	1055	316.2482				
4688	4-vinylguaiacol sulfate	Xenobiotics	Food Component/Plant	48442	LC/MS Neg	100006126	3354	229.0176				
4177	4-vinylphenol sulfate	Xenobiotics	Benzoate Metabolism	36098	LC/MS Neg	100001755	3320	199.0071	6426766	2628-17-3	C05627	HMDB62775
112	5-(galactosylhydroxy)-L-lysine	Amino Acid	Lysine Metabolism	43582	LC/MS Pos Early	100002462	2755	325.1606	123986	32448-36-5		
3953	"5,6-dihydrothymine"	Nucleotide	"Pyrimidine Metabolism, Thymine containing"	1418	LC/MS Neg	158	1637.8	127.0513	93556	696-04-8	C00906	HMDB00079
3909	"5,6-dihydrouracil"	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	1559	LC/MS Neg	1125	1120	113.0357	649	504-07-4	C00429	HMDB00076
3900	"5,6-dihydrouridine"	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	61833	LC/MS Neg	100001425	1119	245.0779	94312	5/4/27		
4243	5-acetylamino-6-amino-3-methyluracil	Xenobiotics	Xanthine Metabolism	34424	LC/MS Polar	100001403	1710	197.068	88299	1196153-01-1	C16366	HMDB04400
4244	5-acetylamino-6-formylamino-3-methyluracil	Xenobiotics	Xanthine Metabolism	34401	LC/MS Polar	100001402	1424	225.0629	108214	85438-96-6	C16365	HMDB11105
3058	"5alpha-androstan-3alpha,17alpha-diol monosulfate"	Lipid	Androgenic Steroids	37183	LC/MS Neg	100002008	5208	371.1898				
3080	"5alpha-androstan-3alpha,17beta-diol 17-glucuronide"	Lipid	Androgenic Steroids	47132	LC/MS Neg	100005396	4930	467.265				
3079	"5alpha-androstan-3alpha,17beta-diol disulfate"	Lipid	Androgenic Steroids	37184	LC/MS Neg	100002017	4275	225.0697				
3077	"5alpha-androstan-3alpha,17beta-diol monosulfate (1)"	Lipid	Androgenic Steroids	37186	LC/MS Neg	100002018	4925	371.1898				
3078	"5alpha-androstan-3alpha,17beta-diol monosulfate (2)"	Lipid	Androgenic Steroids	37185	LC/MS Neg	100006005	5080	371.1898				
3088	"5alpha-androstan-3beta,17alpha-diol disulfate"	Lipid	Androgenic Steroids	37187	LC/MS Neg	100002021	4215	225.0697				
3085	"5alpha-androstan-3beta,17beta-diol disulfate"	Lipid	Androgenic Steroids	37190	LC/MS Neg	100001987	3880	225.0697	242332	571-20-0	C12525	HMDB00493
3084	"5alpha-androstan-3beta,17beta-diol monosulfate (2)"	Lipid	Androgenic Steroids	37192	LC/MS Neg	100002024	4685	371.1898				
2994	"5alpha-pregnan-3beta,20alpha-diol disulfate"	Lipid	Progestin Steroids	37198	LC/MS Neg	100001988	3962	239.0853				
2988	"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)"	Lipid	Progestin Steroids	37200	LC/MS Neg	100002014	5060	399.2211				
2985	"5alpha-pregnan-3beta,20beta-diol monosulfate (1)"	Lipid	Progestin Steroids	37196	LC/MS Neg	100002009	5180	399.2211				
1361	5-dodecenoate (12:1n7)	Lipid	Medium Chain Fatty Acid	33968	LC/MS Neg	100001232	5224	197.1547	5312378	2430-94-6		HMDB00529
1687	5-dodecenoylcarnitine (C12:1)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	61769	LC/MS Pos Late	100016069	1135	342.2639				HMDB13326
5546	5-hydroxy-2-methylpyridine sulfate	Xenobiotics	Chemical	63230	LC/MS Neg	100020973	2074	188.0023				
1782	5-hydroxyhexanoate	Lipid	"Fatty Acid, Monohydroxy"	31938	LC/MS Neg	100001148	1267	131.0714	170748	44843-89-2		HMDB00525
285	5-hydroxyindole sulfate	Amino Acid	Tryptophan Metabolism	52914	LC/MS Neg	100009042	1928	212.0023				
268	5-hydroxyindoleacetate	Amino Acid	Tryptophan Metabolism	437	LC/MS Pos Early	71	1893	192.0655	1826	54-16-0	C05635	HMDB00763
111	5-hydroxylysine	Amino Acid	Lysine Metabolism	15685	LC/MS Pos Early	100000054	2790	163.1077	1029	13204-98-3	C16741	HMDB00450
4397	5-hydroxymethyl-2-furoylcarnitine*	Xenobiotics	Food Component/Plant	62871	LC/MS Pos Early	100021012	2471	286.1285				
494	5-methylthioadenosine (MTA)	Amino Acid	Polyamine Metabolism	1419	LC/MS Pos Early	212	2752	298.0968	439176	2457-80-9	C00170	HMDB01173
3902	5-methyluridine (ribothymidine)	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	35136	LC/MS Neg	100001446	1778.1	257.0779	445408	1463-10-1		HMDB00884
514	5-oxoproline	Amino Acid	Glutathione Metabolism	1494	LC/MS Neg	1021	738.5	128.0353	7405	98-79-3	C01879	HMDB00267
292	6-bromotryptophan	Amino Acid	Tryptophan Metabolism	62503	LC/MS Neg	100020414	3565	280.9931				
5529	6-hydroxyindole sulfate	Xenobiotics	Chemical	48698	LC/MS Neg	100006260	2498	212.0023	122198196			
125	6-oxopiperidine-2-carboxylate	Amino Acid	Lysine Metabolism	43231	LC/MS Neg	100004499	965	142.051	3014237	34622-39-4		HMDB61705
2921	7-HOCA	Lipid	Sterol	36776	LC/MS Neg	100001609	5288.1	429.301	3081085	115538-85-7	C17337	HMDB12458
2912	7-dehydrocholesterol	Lipid	Sterol	1099	LC/MS Pos Late	264	2467	367.3359	439423	434-16-2	C01164	HMDB00032
286	7-hydroxyindole sulfate	Amino Acid	Tryptophan Metabolism	52915	LC/MS Neg	100009043	1765	212.0023				
3865	7-methylguanine	Nucleotide	"Purine Metabolism, Guanine containing"	35114	LC/MS Pos Early	100001456	2175	166.0723	11361	578-76-7	C02242	HMDB00897
4235	7-methylurate	Xenobiotics	Xanthine Metabolism	39598	LC/MS Pos Early	100002241	1321	183.0513	69160	612-37-3	C16355	HMDB11107
4242	7-methylxanthine	Xenobiotics	Xanthine Metabolism	34390	LC/MS Pos Early	100001396	1350	167.0564	68374	552-62-5	C16353	HMDB01991
257	8-methoxykynurenate	Amino Acid	Tryptophan Metabolism	62955	LC/MS Neg	100020360	2863	218.0459	76230	2929-14-8	C05830	HMDB60426
1819	"9,10-DiHOME"	Lipid	"Fatty Acid, Dihydroxy"	38399	LC/MS Neg	179	5180	313.2384	9966640	263399-34-4	C14828	HMDB04704
1808	9-hydroxystearate	Lipid	"Fatty Acid, Monohydroxy"	47120	LC/MS Neg	100005834	5384	299.2592	9570127	25498-28-6		HMDB61661
5033	abacavir	Xenobiotics	Drug - Antiviral	63293	LC/MS Pos Early	100020915	3009	287.1615	441300	136470-78-5	D07057	HMDB15182
4617	acesulfame	Xenobiotics	Food Component/Plant	48569	LC/MS Neg	100006203	1581	161.9867	36573	55589-62-3		HMDB33585
1732	acetoacetate	Lipid	Ketone Bodies	33963	LC/MS Pos Early	1218	1062	103.039	96	11/2/83	C00164	HMDB00060
1657	acetylcarnitine (C2)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)"	32198	LC/MS Pos Early	100000802	2282	204.123	1	5080-50-2	C02571	HMDB00201
490	acisoga	Amino Acid	Polyamine Metabolism	43258	LC/MS Neg	100004541	2297	183.1139	129397	106692-36-8		
1307	aconitate [cis or trans]	Energy	TCA Cycle	46173	LC/MS Neg	100001359	580	173.0092				
3826	adenine	Nucleotide	"Purine Metabolism, Adenine containing"	554	LC/MS Pos Early	880	2221	136.0618	190	73-24-5	C00147	HMDB00034
3821	"adenosine 3',5'-cyclic monophosphate (cAMP)"	Nucleotide	"Purine Metabolism, Adenine containing"	2831	LC/MS Neg	207	1952.2	328.0452	6076	60-92-4	C00575	HMDB00058
3817	ADP	Nucleotide	"Purine Metabolism, Adenine containing"	3108	LC/MS Pos Early	208	607	428.0367	6022	20398-34-9	C00008	HMDB01341
3818	AMP	Nucleotide	"Purine Metabolism, Adenine containing"	32342	LC/MS Pos Early	209	1013	348.0704	6083	149022-20-8	C00020	HMDB00045
1512	adipate	Lipid	"Fatty Acid, Dicarboxylate"	21134	LC/MS Polar	100000863	3000	145.0506	196	124-04-9	C06104	HMDB00448
1709	adipoylcarnitine (C6-DC)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)"	52988	LC/MS Pos Early	100006614	2570	290.1598	71296139			HMDB61677
1425	adrenate (22:4n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	32980	LC/MS Neg	100001193	5678	331.2643	5497181	2091-25-0	C16527	HMDB02226
1704	adrenoylcarnitine (C22:4)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	57528	LC/MS Pos Late	100015850	1415	476.3734				
28	alanine	Amino Acid	Alanine and Aspartate Metabolism	1126	LC/MS Pos Early	811	1700	90.055	5950	56-41-7	C00041	HMDB00161
3812	allantoin	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	1107	LC/MS Polar	1002	1672	157.0367	204	97-59-6	C02350	HMDB00462
4409	alliin	Xenobiotics	Food Component/Plant	41494	LC/MS Pos Early	100003473	1470	178.0532	87310	556-27-4	C08265	HMDB33592
1753	alpha-hydroxycaproate	Lipid	"Fatty Acid, Monohydroxy"	37073	LC/MS Neg	100001723	1920	131.0714	99824	6064-63-7		HMDB01624
306	alpha-hydroxyisocaproate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	22132	LC/MS Neg	100000706	1840	131.0714	83697	10303-64-7	C03264	HMDB00746
